"predict","no","yes"
"no",0.8120341445967559,0.18796585540324406
"yes",0.060149244440354965,0.939850755559645
"no",0.9172504562109347,0.08274954378906527
"no",0.9379426806936727,0.06205731930632734
"no",0.8973988719827356,0.1026011280172644
"yes",0.12856714316141205,0.871432856838588
"yes",0.3126567926996433,0.6873432073003567
"yes",0.13898984050445862,0.8610101594955414
"yes",0.19319621234329054,0.8068037876567095
"no",0.7802801053764682,0.21971989462353184
"yes",0.4548700989131603,0.5451299010868397
"yes",0.1718703726306493,0.8281296273693507
"yes",0.22324361987154784,0.7767563801284522
"no",0.8451755110797383,0.15482448892026174
"yes",0.36964134677531413,0.6303586532246859
"yes",0.5707514700598277,0.42924852994017226
"yes",0.060149244440354965,0.939850755559645
"yes",0.40583508503717947,0.5941649149628205
"no",0.8748044733610374,0.12519552663896255
"yes",0.057541716272664245,0.9424582837273358
"no",0.9256731659475634,0.07432683405243654
"yes",0.22324361987154784,0.7767563801284522
"yes",0.24958434244352157,0.7504156575564784
"no",0.8741245168840067,0.1258754831159933
"no",0.6714238627592153,0.32857613724078466
"no",0.9069123301660745,0.09308766983392545
"no",0.934523625105581,0.06547637489441901
"no",0.9125250389362876,0.0874749610637125
"yes",0.23779062200762735,0.7622093779923726
"no",0.8959853330439291,0.10401466695607083
"yes",0.1395172462096872,0.8604827537903128
"yes",0.17026567649525748,0.8297343235047425
"no",0.7552506692357709,0.24474933076422914
"no",0.8501828914824094,0.14981710851759056
"yes",0.24625569182186557,0.7537443081781344
"no",0.8748044733610374,0.12519552663896255
"no",0.8217085081994802,0.17829149180051979
"no",0.8648469599865309,0.135153040013469
"yes",0.06586183662250955,0.9341381633774904
"no",0.9364671115522701,0.06353288844772989
"yes",0.25528526117102035,0.7447147388289796
"no",0.9155076837104388,0.0844923162895612
"yes",0.060149244440354965,0.939850755559645
"no",0.9212895349491192,0.0787104650508807
"no",0.8269402628315308,0.1730597371684692
"no",0.9229357323446095,0.07706426765539053
"yes",0.2583164581747125,0.7416835418252875
"no",0.920188187116624,0.079811812883376
"no",0.9151260854939005,0.08487391450609955
"no",0.8269402628315308,0.1730597371684692
"no",0.8904198341205731,0.10958016587942693
"no",0.6754294778865645,0.3245705221134355
"no",0.9328885784346436,0.06711142156535645
"yes",0.10025433510246717,0.8997456648975328
"yes",0.060149244440354965,0.939850755559645
"yes",0.22046547631233637,0.7795345236876636
"yes",0.25955891858578595,0.740441081414214
"no",0.8295460675263338,0.17045393247366625
"no",0.7268815012341587,0.2731184987658413
"yes",0.13925005612404373,0.8607499438759563
"yes",0.3777494373318213,0.6222505626681787
"yes",0.07423062129464997,0.92576937870535
"yes",0.0976854277618655,0.9023145722381345
"no",0.867884527506935,0.13211547249306496
"yes",0.060149244440354965,0.939850755559645
"no",0.9191314020188334,0.08086859798116668
"no",0.8269402628315308,0.1730597371684692
"yes",0.2615301042660756,0.7384698957339244
"no",0.7401533864295549,0.25984661357044514
"yes",0.3536662490704926,0.6463337509295074
"no",0.8033529547513131,0.19664704524868695
"no",0.8722698979823847,0.12773010201761528
"no",0.8382007357534257,0.1617992642465743
"no",0.906631474157569,0.09336852584243106
"no",0.9264833899599666,0.07351661004003343
"no",0.8719655409463273,0.12803445905367272
"no",0.852073481843201,0.14792651815679903
"no",0.8824125193723336,0.11758748062766641
"no",0.8546919955018191,0.145308004498181
"no",0.925106744173578,0.07489325582642205
"yes",0.6450190360154848,0.3549809639845152
"no",0.8596874354632045,0.14031256453679547
"no",0.9008661932506157,0.09913380674938435
"yes",0.060149244440354965,0.939850755559645
"no",0.9149603727165466,0.08503962728345334
"no",0.9201437247138552,0.07985627528614478
"yes",0.38014017971643077,0.6198598202835692
"no",0.9157408073284068,0.08425919267159321
"no",0.7872969809279639,0.21270301907203618
"no",0.8572470269268752,0.14275297307312487
"yes",0.6296689519326586,0.37033104806734146
"no",0.8844680792067214,0.11553192079327854
"yes",0.060149244440354965,0.939850755559645
"no",0.901306815085109,0.09869318491489097
"no",0.932594653769714,0.067405346230286
"yes",0.47473227096828696,0.525267729031713
"no",0.9376416754729598,0.06235832452704017
"no",0.9091171046310831,0.09088289536891687
"yes",0.06675932410256114,0.9332406758974389
"yes",0.47641133663900626,0.5235886633609937
"no",0.6742148839501998,0.32578511604980015
"yes",0.1926132465571494,0.8073867534428506
"yes",0.09842220315667072,0.9015777968433293
"yes",0.40405453993540974,0.5959454600645903
"yes",0.1355954098936415,0.8644045901063585
"no",0.8726786240419769,0.12732137595802306
"no",0.8443857103848338,0.15561428961516627
"yes",0.3309807597064688,0.6690192402935312
"no",0.8624150427170755,0.1375849572829245
"no",0.8752870671373703,0.1247129328626298
"yes",0.30606108282983546,0.6939389171701645
"no",0.8977867259691905,0.10221327403080943
"no",0.8983041457303381,0.1016958542696619
"no",0.9044653160360374,0.09553468396396263
"no",0.8817269790475473,0.11827302095245268
"no",0.7814607002382578,0.21853929976174227
"no",0.8753331305822624,0.12466686941773766
"yes",0.08628812141674569,0.9137118785832543
"yes",0.09728316534442394,0.9027168346555761
"yes",0.4660017270390221,0.5339982729609779
"yes",0.09197493692917236,0.9080250630708276
"yes",0.08047087853059831,0.9195291214694017
"no",0.9256731659475634,0.07432683405243654
"yes",0.6138866174295191,0.3861133825704809
"yes",0.060149244440354965,0.939850755559645
"no",0.8269402628315308,0.1730597371684692
"yes",0.0745393292845492,0.9254606707154508
"no",0.9154350940641476,0.08456490593585239
"yes",0.11758506603840946,0.8824149339615905
"no",0.872766796998572,0.127233203001428
"no",0.9306396124009819,0.06936038759901805
"no",0.8443857103848338,0.15561428961516627
"no",0.9405128473436619,0.05948715265633808
"no",0.8332990090424407,0.1667009909575593
"yes",0.3915364677139116,0.6084635322860884
"no",0.7055952553002522,0.29440474469974776
"yes",0.11249420209507888,0.8875057979049211
"no",0.8118148429709557,0.18818515702904426
"yes",0.24485714451637453,0.7551428554836255
"yes",0.23658104065465035,0.7634189593453496
"no",0.8932367970248742,0.10676320297512575
"no",0.8843243817079991,0.1156756182920009
"yes",0.2142185604221939,0.7857814395778061
"yes",0.132052532381701,0.867947467618299
"yes",0.5272595612175925,0.4727404387824075
"yes",0.07319912175898469,0.9268008782410153
"no",0.8531447087217094,0.14685529127829053
"no",0.9186323309640114,0.08136766903598855
"yes",0.3300095005583451,0.6699904994416549
"no",0.8902752485519532,0.10972475144804689
"yes",0.06569310298911357,0.9343068970108864
"no",0.8580335484060521,0.1419664515939479
"no",0.907737537174572,0.09226246282542801
"no",0.895520994246006,0.10447900575399405
"no",0.9134293523633276,0.08657064763667247
"yes",0.11089412298256174,0.8891058770174383
"no",0.9019363643596835,0.09806363564031649
"no",0.7234521570349021,0.27654784296509793
"yes",0.07543805625468292,0.9245619437453171
"yes",0.5773169609909804,0.4226830390090196
"yes",0.06569310298911357,0.9343068970108864
"no",0.8748044733610374,0.12519552663896255
"yes",0.09649901240261682,0.9035009875973832
"no",0.850924607578553,0.149075392421447
"yes",0.07484712183668174,0.9251528781633183
"no",0.686382386498138,0.313617613501862
"yes",0.09022279026616531,0.9097772097338347
"no",0.6591726482220842,0.3408273517779158
"no",0.7762198207501061,0.22378017924989385
"yes",0.1395172462096872,0.8604827537903128
"no",0.914694778171795,0.08530522182820503
"no",0.9362673215233139,0.06373267847668611
"no",0.9249379551513125,0.0750620448486875
"yes",0.060149244440354965,0.939850755559645
"no",0.8055272428993292,0.19447275710067086
"no",0.7790394804695541,0.2209605195304459
"yes",0.48356164862498985,0.5164383513750102
"no",0.876029704274301,0.12397029572569898
"yes",0.2864888832975564,0.7135111167024436
"no",0.7899671507462012,0.2100328492537988
"yes",0.12504438041548427,0.8749556195845157
"yes",0.06675932410256114,0.9332406758974389
"yes",0.064739690815798,0.935260309184202
"yes",0.09327248090957685,0.9067275190904232
"yes",0.5180131517075068,0.48198684829249316
"no",0.8902972832371409,0.10970271676285916
"no",0.88702622780988,0.11297377219011999
"no",0.7289642234181231,0.271035776581877
"yes",0.2168793182528328,0.7831206817471672
"no",0.8886648240314309,0.11133517596856911
"yes",0.07423062129464997,0.92576937870535
"no",0.8924751854417913,0.10752481455820868
"yes",0.0800830783452472,0.9199169216547528
"no",0.8751799627478802,0.1248200372521198
"yes",0.20794333214620775,0.7920566678537923
"no",0.8623055309033969,0.1376944690966031
"no",0.9086877775198933,0.09131222248010673
"no",0.8983041457303381,0.1016958542696619
"no",0.8269402628315308,0.1730597371684692
"no",0.9198820770867961,0.08011792291320388
"yes",0.09328481757805196,0.906715182421948
"no",0.7717220234799853,0.22827797652001466
"no",0.8503878862644101,0.14961211373558986
"no",0.8621105672601772,0.1378894327398228
"yes",0.06005015379412604,0.939949846205874
"yes",0.07705639999059155,0.9229436000094084
"no",0.9378961988686012,0.062103801131398836
"no",0.9069123301660745,0.09308766983392545
"no",0.8411573689629591,0.1588426310370409
"no",0.8983041457303381,0.1016958542696619
"no",0.8714341981111757,0.1285658018888243
"no",0.899786621837094,0.10021337816290599
"yes",0.42705656237908884,0.5729434376209112
"no",0.8269402628315308,0.1730597371684692
"yes",0.060149244440354965,0.939850755559645
"yes",0.19277039264475282,0.8072296073552472
"no",0.7814607002382578,0.21853929976174227
"yes",0.08456045238694399,0.915439547613056
"no",0.9216149890237646,0.07838501097623546
"no",0.9111649983071106,0.08883500169288934
"no",0.8857690171875527,0.1142309828124472
"no",0.9263517772088695,0.07364822279113045
"no",0.8806881704524677,0.11931182954753229
"yes",0.14189360182270894,0.8581063981772911
"yes",0.1395172462096872,0.8604827537903128
"no",0.7448798847546182,0.2551201152453818
"yes",0.1154716554990709,0.8845283445009291
"no",0.7964252616496064,0.20357473835039358
"no",0.8869905707071625,0.1130094292928375
"yes",0.6148031230452521,0.3851968769547479
"no",0.7213921491731785,0.2786078508268215
"no",0.8748044733610374,0.12519552663896255
"no",0.8988515755995198,0.10114842440048022
"yes",0.38359982524465197,0.616400174755348
"no",0.7814607002382578,0.21853929976174227
"no",0.7196613581540063,0.28033864184599366
"no",0.9214075863522062,0.07859241364779385
"no",0.920730050102669,0.07926994989733105
"yes",0.09155569969567112,0.9084443003043289
"no",0.886455815535424,0.11354418446457606
"no",0.9024089373830434,0.09759106261695664
"no",0.9241401327258051,0.07585986727419493
"no",0.7998649260585599,0.20013507394144012
"yes",0.40359000980819937,0.5964099901918006
"no",0.879490039953399,0.120509960046601
"no",0.8452069696491222,0.15479303035087777
"yes",0.1395172462096872,0.8604827537903128
"yes",0.31806325113825495,0.681936748861745
"no",0.7595320907207066,0.24046790927929343
"yes",0.2016010246499833,0.7983989753500167
"no",0.7455742946806768,0.2544257053193232
"no",0.8912817417518528,0.10871825824814714
"no",0.8965189482980328,0.10348105170196718
"no",0.8819873498261335,0.11801265017386654
"no",0.8983041457303381,0.1016958542696619
"yes",0.31961010701134485,0.6803898929886552
"yes",0.060149244440354965,0.939850755559645
"yes",0.2328941291024048,0.7671058708975952
"no",0.7918483535958155,0.20815164640418446
"no",0.9295536262728481,0.07044637372715193
"no",0.9121998931229398,0.0878001068770602
"no",0.903947101387139,0.09605289861286105
"no",0.9229357323446095,0.07706426765539053
"no",0.6628087676700161,0.33719123232998394
"yes",0.5167224947478963,0.48327750525210367
"yes",0.4128788643355392,0.5871211356644608
"yes",0.060149244440354965,0.939850755559645
"no",0.8540043010347453,0.1459956989652546
"yes",0.11087037341298822,0.8891296265870118
"no",0.9158616454416127,0.08413835455838728
"no",0.8898156427321329,0.11018435726786713
"no",0.9014479475346231,0.09855205246537685
"yes",0.09429205849651923,0.9057079415034808
"yes",0.29130889683073014,0.7086911031692699
"no",0.7814607002382578,0.21853929976174227
"yes",0.43920469702897014,0.5607953029710299
"no",0.8851524923857018,0.11484750761429822
"no",0.785607700778855,0.214392299221145
"no",0.9363393050514962,0.06366069494850381
"no",0.9085083367146235,0.09149166328537654
"no",0.9220120582033305,0.07798794179666947
"no",0.7814607002382578,0.21853929976174227
"no",0.9257523037643977,0.0742476962356023
"no",0.8591349841427323,0.1408650158572678
"no",0.8891609770339902,0.11083902296600982
"yes",0.060149244440354965,0.939850755559645
"no",0.8783275851909933,0.1216724148090067
"yes",0.20603741126236697,0.793962588737633
"no",0.925106744173578,0.07489325582642205
"yes",0.3861407624291918,0.6138592375708082
"no",0.9247221159651895,0.07527788403481053
"yes",0.2563746520187353,0.7436253479812647
"yes",0.060149244440354965,0.939850755559645
"no",0.8531447087217094,0.14685529127829053
"no",0.9254759461792168,0.07452405382078323
"no",0.9104976949800052,0.08950230501999473
"yes",0.12914468420088676,0.8708553157991132
"no",0.9349208614273579,0.06507913857264219
"yes",0.06923682492135375,0.9307631750786463
"no",0.7856727259718622,0.21432727402813778
"no",0.8269402628315308,0.1730597371684692
"yes",0.4084068121473553,0.5915931878526447
"no",0.9195778889920591,0.08042211100794099
"yes",0.29316717017216465,0.7068328298278354
"yes",0.2563746520187353,0.7436253479812647
"no",0.8840001005207727,0.11599989947922729
"yes",0.060149244440354965,0.939850755559645
"no",0.9314185890612432,0.06858141093875682
"no",0.9125250389362876,0.0874749610637125
"no",0.803548874505561,0.19645112549443905
"yes",0.11418277820435674,0.8858172217956433
"no",0.9160678887984987,0.08393211120150132
"no",0.7830031015692718,0.21699689843072822
"yes",0.060149244440354965,0.939850755559645
"no",0.9281885415222856,0.0718114584777144
"no",0.8244430094881997,0.17555699051180032
"yes",0.07683155463662916,0.9231684453633708
"yes",0.060149244440354965,0.939850755559645
"no",0.880714046844607,0.11928595315539306
"no",0.9166072717759935,0.0833927282240065
"no",0.9182456608314815,0.08175433916851843
"no",0.9074813966093016,0.09251860339069841
"no",0.8269402628315308,0.1730597371684692
"no",0.9238987301864785,0.07610126981352147
"no",0.8763804103418774,0.12361958965812261
"yes",0.12154284299691231,0.8784571570030877
"no",0.8527651731444958,0.14723482685550415
"yes",0.060776510479623624,0.9392234895203764
"no",0.871057162380868,0.128942837619132
"no",0.8129323514702985,0.1870676485297015
"no",0.928594471611668,0.071405528388332
"no",0.9359844177412724,0.06401558225872761
"yes",0.5112867560400018,0.48871324395999816
"yes",0.08232283328387868,0.9176771667161213
"yes",0.42695909815534683,0.5730409018446532
"no",0.7200678890945202,0.2799321109054798
"no",0.8608379758019216,0.13916202419807847
"yes",0.060149244440354965,0.939850755559645
"no",0.942602389544515,0.057397610455484936
"yes",0.060149244440354965,0.939850755559645
"no",0.7942502638922417,0.20574973610775824
"no",0.930362762350068,0.06963723764993203
"yes",0.060149244440354965,0.939850755559645
"no",0.8955654913023192,0.10443450869768073
"yes",0.08392241353401142,0.9160775864659886
"no",0.8947593781637239,0.10524062183627617
"yes",0.33125457542652614,0.6687454245734739
"yes",0.42128036215822684,0.5787196378417732
"no",0.8243078935097436,0.17569210649025635
"yes",0.40883352050843236,0.5911664794915676
"yes",0.1340738220608887,0.8659261779391113
"yes",0.3656027349625335,0.6343972650374665
"yes",0.1395172462096872,0.8604827537903128
"yes",0.060149244440354965,0.939850755559645
"yes",0.24289902419905263,0.7571009758009474
"no",0.8748044733610374,0.12519552663896255
"yes",0.060149244440354965,0.939850755559645
"no",0.9326242424273185,0.06737575757268151
"no",0.8748044733610374,0.12519552663896255
"no",0.9233043769275504,0.07669562307244963
